Code,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Colour,Standard Qty,Type,remark,修正前描述,修正後描述,修正說明
0010,xxxBeany Baby Box,xxxBeany,Baby,Box,,,,,,,,,,,,,,,-,1,-,-,,,
0097,xxxSmiley Ball Squeaky Toy (Mixed Colours),xxxSmiley,Ball,Squeaky,Toy,(Mixed,Colours),,,,,,,,,,,,-,1,-,-,,,
0216,xxxFun Ball Squeaky Toy (Mixed Colours),xxxFun,Ball,Squeaky,Toy,(Mixed,Colours),,,,,,,,,,,,-,1,-,-,,,
0249,xxxAssorted Large Toys,xxxAssorted,Large,Toys,,,,,,,,,,,,,,,-,1,-,-,,,
0261,xxxFootball Squeaky Toy (Mixed Colours),xxxFootball,Squeaky,Toy,(Mixed,Colours),,,,,,,,,,,,,-,1,-,-,,,
0275,Assorted Xmas Squeaky Toys (Various Sizes),Assorted,Xmas,Squeaky,Toys,(Various,Sizes),,,,,,,,,,,,-,1,-,-,,,
0300,Assorted Rubber Toys,Assorted,Rubber,Toys,,,,,,,,,,,,,,,-,1,-,-,,,
0320,Assorted Canvas Toys,Assorted,Canvas,Toys,,,,,,,,,,,,,,,-,1,-,-,,,
035/0183,xxx3 in 1 Cat Bed,xxx3,in,1,Cat,Bed,,,,,,,,,,,,,-,1,-,-,,,
035/0925,xxxLarge Dog Bed (Blue Check),xxxLarge,Dog,Bed,(Blue,Check),,,,,,,,,,,,,-,1,-,-,,,
035/1632,xxxLarge Hi-Control Complete Harness,xxxLarge,Hi-Control,Complete,Harness,,,,,,,,,,,,,,-,1,-,-,,,
035/1639,xxxHi Control Complete Harness Large,xxxHi,Control,Complete,Harness,Large,,,,,,,,,,,,,-,1,-,-,,,
035/1821,xxxBudgie/Parakeet Bird Cage,xxxBudgie/Parakeet,Bird,Cage,,,,,,,,,,,,,,,-,1,-,-,,,
035/1876,xxxSmall Animal Play Pen,xxxSmall,Animal,Play,Pen,,,,,,,,,,,,,,-,1,-,-,,,
035/1890,xxxHamster 3 Level Cage,xxxHamster,3,Level,Cage,,,,,,,,,,,,,,-,1,-,-,,,
035/1917,xxxAquarium Gravel Cleaner,xxxAquarium,Gravel,Cleaner,,,,,,,,,,,,,,,-,1,-,-,,,
035/1924,xxxMedium Complete Harness,xxxMedium,Complete,Harness,,,,,,,,,,,,,,,-,1,-,-,,,
035/1948,xxxSmall Dog Brush Set,xxxSmall,Dog,Brush,Set,,,,,,,,,,,,,,-,1,-,-,,,
035/1955,xxxLarge Dog Brush Set,xxxLarge,Dog,Brush,Set,,,,,,,,,,,,,,-,1,-,-,,,
035/2088,xxxGuinea Pig Starter Kit,xxxGuinea,Pig,Starter,Kit,,,,,,,,,,,,,,-,1,-,-,,,
035/2239,"xxx30"" Perla Pet Bed (Blue)","xxx30""",Perla,Pet,Bed,(Blue),,,,,,,,,,,,,-,1,-,-,,,
035/2356,xxxPaparazzi Cat Scratcher With Hooded Bed,xxxPaparazzi,Cat,Scratcher,With,Hooded,Bed,,,,,,,,,,,,-,1,-,-,,,
035/2370,xxx6.5 Litre Kufra Plastic Feeder,xxx6.5,Litre,Kufra,Plastic,Feeder,,,,,,,,,,,,,-,1,-,-,,,
035/2624,xxxx4 Aquatic Plants (Mixed Pack),xxxx4,Aquatic,Plants,(Mixed,Pack),,,,,,,,,,,,,-,1,-,-,,,
035/2789,xxx100 x 70 x 0mm Orthopaedic Pet Bed,xxx100cm,x,70cm,Orthopaedic,Pet,Bed,,,,,,,,,,,,-,1,-,-,xxx100cm x 70cm Orthopaedic Pet Bed,xxx100 x 70 x 0mm Orthopaedic Pet Bed,尺寸格式統一：100cm x 70cm → 100 x 70 x 0mm
035/2796,xxxCat Igloo (Blue Tartan),xxxCat,Igloo,(Blue,Tartan),,,,,,,,,,,,,,-,1,-,-,,,
035/2868,xxxCold Water Aquarium,xxxCold,Water,Aquarium,,,,,,,,,,,,,,,-,1,-,-,,,
035/2875,xxxTropical Aquarium,xxxTropical,Aquarium,,,,,,,,,,,,,,,,-,1,-,-,,,
0400,xxxDog Toy Pack,xxxDog,Toy,Pack,,,,,,,,,,,,,,,-,1,-,-,,,
0410,xxx Glowbs,xxx,Glowbs,,,,,,,,,,,,,,,,-,1,-,-,,,
043209,"xxxFamily Pets Knotted Bones 7"" - 8""",xxxFamily,Pets,Knotted,Bones,"7""",-,"8""",,,,,,,,,,,-,1,-,-,,,
0450,Skimma Dog Toy (Frisbee),Skimma,Dog,Toy,(Frisbee),,,,,,,,,,,,,,-,1,-,-,,,
0610,"11"" Coloured Cotton Double-Knot Pull","11""",Coloured,Cotton,Double-Knot,Pull,,,,,,,,,,,,,-,1,-,-,,,
0620,"13"" Coloured Cotton Double-Knot Pull","13""",Coloured,Cotton,Double-Knot,Pull,,,,,,,,,,,,,-,1,-,-,,,
